drug_name,category,common_dosages,side_effects,contraindications
"Amoxicillin","Antibiotic","250mg, 500mg, 875mg","Nausea, Rash, Diarrhea","Penicillin allergy, Mono"
"Lisinopril","ACE Inhibitor","5mg, 10mg, 20mg","Cough, Dizziness, Hyperkalemia","Pregnancy, Angioedema history"
"Metformin","Antidiabetic","500mg, 850mg, 1000mg","GI upset, Lactic acidosis risk","CKD (eGFR <30), Metabolic acidosis"
"Atorvastatin","Statin","10mg, 20mg, 40mg, 80mg","Myalgia, Liver enzyme elevation","Active liver disease, Pregnancy"
"Omeprazole","Proton Pump Inhibitor","10mg, 20mg, 40mg","Headache, GI upset, B12 deficiency","Clopidogrel use, Mg deficiency"
"Amlodipine","Calcium Channel Blocker","2.5mg, 5mg, 10mg","Edema, Flushing, Dizziness","Severe hypotension, Cardiogenic shock"
"Sertraline","SSRI Antidepressant","25mg, 50mg, 100mg","Nausea, Insomnia, Sexual dysfunction","MAOIs, Pimozide use"
"Warfarin","Anticoagulant","1mg, 2mg, 5mg, 7.5mg, 10mg","Bleeding, Bruising","Active bleeding, Pregnancy"
"Ibuprofen","NSAID","200mg, 400mg, 600mg, 800mg","GI bleeding, Renal impairment","NSAID allergy, 3rd trimester pregnancy"
"Acetaminophen","Analgesic","325mg, 500mg, 650mg, 1000mg","Hepatotoxicity (overdose)","Severe liver disease"
"Levothyroxine","Thyroid Hormone","25mcg, 50mcg, 75mcg, 100mcg, 150mcg","Tachycardia, Tremor, Insomnia","Untreated adrenal insufficiency"
"Albuterol","Beta-2 Agonist","2mg, 4mg, 90mcg inhaler","Tremor, Tachycardia, Hypokalemia","Hypersensitivity to albuterol"
"Prednisone","Corticosteroid","5mg, 10mg, 20mg, 50mg","Weight gain, Hyperglycemia, Osteoporosis","Systemic fungal infections"
"Gabapentin","Anticonvulsant","100mg, 300mg, 600mg, 800mg","Somnolence, Dizziness, Edema","Hypersensitivity"
"Hydrochlorothiazide","Thiazide Diuretic","12.5mg, 25mg, 50mg","Hypokalemia, Hyperuricemia","Anuria, Sulfa allergy"
"Losartan","ARB","25mg, 50mg, 100mg","Dizziness, Hyperkalemia","Pregnancy, Bilateral renal artery stenosis"
"Metoprolol","Beta Blocker","25mg, 50mg, 100mg","Fatigue, Bradycardia, Hypotension","Heart block, Cardiogenic shock"
"Fluoxetine","SSRI Antidepressant","10mg, 20mg, 40mg","Nausea, Insomnia, Anxiety","MAOIs, Pimozide, Thioridazine"
"Clopidogrel","Antiplatelet","75mg, 300mg","Bleeding, TTP (rare)","Active bleeding, CYP2C19 poor metabolizer"
"Furosemide","Loop Diuretic","20mg, 40mg, 80mg","Dehydration, Hypokalemia, Ototoxicity","Anuria, Hepatic coma"
"Pantoprazole","Proton Pump Inhibitor","20mg, 40mg","Headache, Diarrhea","Hypersensitivity to PPIs"
"Montelukast","Leukotriene Modifier","4mg, 5mg, 10mg","Headache, Behavioral changes","Acute asthma attacks"
